,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
210104,879.6,906.7,902.6,866.6999999999999,821.9,869.8,853.6999999999999,893.9,1064.5,1110.0,1167.4,1178.8,1100.4,1127.2,1144.9,1109.3,1111.4,1101.6,1043.8,1016.0,975.6,979.7,982.6,933.4
210105,925.6,936.7,882.7,894.6,864.2,859.1,853.6999999999999,891.3,958.0,1092.0,1146.2,1178.1999999999998,1160.9,1189.5000000000002,1183.3000000000002,1183.1,1176.0,1150.8000000000002,1105.5,976.7,978.8,989.3,965.6,968.6
210106,941.6,938.5,908.3,922.8,889.1,909.2,890.2,958.8,1094.5,1179.1,1196.3,1207.3000000000002,1174.5,1186.4,1150.6,1128.4,1143.2,1150.4,1040.5,1043.8,1018.8,1017.6,978.0,958.3
210107,959.1,993.6,928.9,974.8,1028.6,985.0,971.7,1021.1,1077.4,1266.2,1377.2,1320.0,1329.8,1351.7,1351.0,1352.1999999999998,1358.4,1349.5,1279.1,1213.7,1264.2,1229.0,1223.8,1205.3
210111,1071.3,1016.5,1006.8,990.2,1030.1,1014.6,1000.6,1076.4,1124.1999999999998,1287.0,1352.9,1327.4,1300.0,1257.4,1263.8,1280.8,1255.4,1257.7,1208.6999999999998,1144.6,1192.8,1164.9,1137.9,1139.0
210112,1103.9,1081.5,1096.5,1079.5,1086.8,1104.5,1103.5,1127.4,1216.1,1298.2,1319.7999999999995,1242.1,1215.8,1241.9,1159.6,1208.1,1173.0,1211.8000000000002,1166.4,1115.3,1106.4,1068.2,1115.4,1124.7
210113,1055.1,1057.3,1026.0,1018.3,1027.7,1050.4,1017.1,1067.4,1074.0,1154.3,1189.6,1136.6999999999998,1128.5,1109.9,1082.3,1028.6,1058.0,1069.6,1048.9,964.3,1009.2,958.1,995.7,971.6
210114,937.3,952.6,954.1,942.8,932.4,980.0,950.7,999.0,1050.5,1193.9,1168.6999999999998,1138.9,1099.3000000000002,1016.5,983.9,977.0,956.9,964.4,935.0,923.3,933.5,972.0,933.4,930.2
210119,935.0,914.5,897.1999999999999,932.0,956.3,946.1,925.8,932.0,1061.7,1142.9,1165.1,1143.1,1111.0,1102.4,1068.9,1067.3000000000002,1050.7,1055.8000000000002,1034.0,992.2,1057.5,1029.6,1007.3,1007.8
210120,959.1,949.1,928.9,967.7,1002.9,921.4,948.7,977.3,1022.8,1106.6,1124.1,1076.2,1040.7,997.4,994.8,962.3,957.1,996.0,1004.6,946.7,928.9,916.3,923.3,923.8
